,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
40996,891969c9d4bffff,6,0,0,0,1,0,1,0,3,1,0,Low-area,False
41002,8919695316fffff,50,1,1,0,0,0,0,2,44,3,0,High-area,True
41052,89196953117ffff,100,0,4,0,0,2,1,13,79,1,0,High-area,False
41152,891969c9c67ffff,77,3,5,3,0,2,0,25,36,6,0,High-area,True
41229,89196826b7bffff,36,2,0,0,0,2,1,5,27,1,0,High-area,True
41265,8919682682bffff,34,0,0,0,1,2,0,10,19,2,0,High-area,False
41299,891969534abffff,82,1,4,5,3,0,2,19,36,13,0,High-area,True
41381,891969c93a3ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
41382,891969532cbffff,25,1,0,0,0,2,0,7,13,3,0,Low-area,True
41407,891969c9d5bffff,2,0,0,0,0,0,0,0,0,2,0,Low-area,False
41409,8919695148fffff,5,0,0,0,0,0,0,0,2,3,0,Low-area,False
41414,891968245c7ffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
41415,891969c9bbbffff,91,0,26,3,9,3,0,32,18,0,0,High-area,False
41506,891969534cfffff,75,3,2,3,0,0,4,9,44,13,0,High-area,True
41581,89196953447ffff,70,1,5,8,2,0,3,14,31,7,0,High-area,True
41651,891969cd677ffff,66,4,0,1,0,0,0,6,57,2,0,High-area,True
41717,89196826b0fffff,58,3,3,0,1,1,0,21,29,3,0,High-area,True
41775,89196953463ffff,87,2,6,3,0,1,0,20,48,9,0,High-area,True
41862,8919695317bffff,69,9,0,0,1,0,0,3,65,0,0,High-area,True
41931,89196953107ffff,96,2,19,0,0,1,1,7,64,4,0,High-area,True
42027,891969c9c77ffff,31,2,2,0,0,2,0,5,20,2,0,High-area,True
42058,891969c8a9bffff,7,1,0,0,0,0,0,2,3,2,0,Low-area,True
42065,891969c9e8fffff,25,1,0,2,0,0,1,1,13,8,0,Low-area,True
42090,891969c8a57ffff,9,0,0,0,1,0,0,0,7,1,0,Low-area,False
42099,891969535afffff,91,0,23,2,2,0,4,48,11,1,0,High-area,False
42190,8919695259bffff,12,0,2,0,0,0,0,3,6,1,0,Low-area,False
