,0
588,891e80cc1b3ffff
589,891e80405c7ffff
590,891e8055e9bffff
591,891e80520bbffff
592,891e80c8d0bffff
593,891e80cd52fffff
594,891e80586abffff
595,891e80ce2cfffff
596,891e8050647ffff
597,891e80cc16bffff
598,891e80c82c3ffff
599,891e80cc6b7ffff
600,891e8051c5bffff
601,891e8043653ffff
602,891e80c8897ffff
603,891e8055647ffff
604,891e80ca1cbffff
605,891e8055d77ffff
606,891e80cf0c3ffff
607,891e8058117ffff
608,891e804018fffff
609,891e80433cbffff
610,891e8050dcfffff
611,891e804230bffff
612,891e80cd08bffff
613,891e804060bffff
614,891e8053447ffff
615,891e8050507ffff
616,891e80caacfffff
617,891e80c9b2bffff
618,891e8050c47ffff
619,891e800b62bffff
620,891e80cd67bffff
621,891e8052ac7ffff
622,891e80574bbffff
623,891e805750fffff
624,891e8051d57ffff
625,891e8626807ffff
626,891e8040687ffff
627,891e80570dbffff
628,891e80582c3ffff
629,891e80c91b3ffff
630,891e80ca05bffff
631,891e805ab07ffff
632,891e80095a3ffff
633,891e80cac97ffff
634,891e80c9547ffff
635,891e80c9087ffff
636,891e80c9013ffff
637,891e8057207ffff
638,891e80cca8fffff
639,891e80502b3ffff
640,891e8626ac3ffff
641,891e80cb1cfffff
642,891e805ac13ffff
643,891e805a50bffff
644,891e80cc04fffff
645,891e80ca12fffff
646,891e80c8ac3ffff
647,891e805034bffff
648,891e805511bffff
649,891e8058a03ffff
650,891e8050463ffff
651,891e80cc54fffff
652,891e8054c6fffff
653,891e8043497ffff
654,891e8051363ffff
655,891e86268a7ffff
656,891e80511bbffff
657,891e8058657ffff
658,891e8059d6fffff
659,891e8046687ffff
660,891e805254fffff
661,891e805320fffff
662,891e8051b27ffff
663,891e80c1243ffff
664,891e80535c3ffff
665,891e805a0a3ffff
666,891e8059d8bffff
667,891e804158fffff
668,891e805424bffff
669,891e8050887ffff
670,891e80cb1c7ffff
671,891e80c9c6bffff
672,891e8050b8fffff
673,891e80cf0cfffff
674,891e80551a7ffff
675,891e8042563ffff
676,891e80ca67bffff
677,891e8042413ffff
678,891e80536b3ffff
679,891e80cb3cfffff
680,891e80cdbcbffff
681,891e80095dbffff
682,891e8050267ffff
683,891e80cc57bffff
684,891e8058303ffff
685,891e80c8147ffff
686,891e80c9177ffff
687,891e8040613ffff
688,891e80cda97ffff
689,891e8050cb3ffff
690,891e8053147ffff
691,891e80caea3ffff
692,891e8050ad3ffff
693,891e80c888bffff
694,891e80c9837ffff
695,891e8041113ffff
696,891e80c127bffff
697,891e8050ac7ffff
698,891e8042edbffff
699,891e80caeafffff
700,891e805898bffff
701,891e804111bffff
702,891e8051263ffff
703,891e8626e73ffff
704,891e8050cafffff
705,891e8050583ffff
706,891e8050abbffff
707,891e8050157ffff
708,891e80ce27bffff
709,891e805b50fffff
710,891e80520b3ffff
711,891e80cac57ffff
712,891e80cf103ffff
713,891e8053433ffff
714,891e80cf60fffff
715,891e80530abffff
716,891e8624d97ffff
717,891e8051b53ffff
718,891e80571afffff
719,891e80524c7ffff
720,891e805127bffff
721,891e80559a7ffff
722,891e8056e4bffff
723,891e80544a7ffff
724,891e805a217ffff
725,891e80caeb7ffff
726,891e804a48bffff
727,891e80cd90fffff
728,891e80cc37bffff
729,891e805163bffff
730,891e804320bffff
731,891e8052257ffff
732,891e80c9ed7ffff
733,891e80412a3ffff
734,891e80cc223ffff
735,891e8624a07ffff
736,891e80cdc2fffff
737,891e80c9d77ffff
738,891e805a197ffff
739,891e8055dd3ffff
740,891e80405d7ffff
741,891e8054197ffff
742,891e8057083ffff
743,891e80c99cbffff
744,891e80cca8bffff
745,891e805b023ffff
746,891e8052917ffff
747,891e800b60fffff
748,891e8056b8fffff
749,891e80420c7ffff
750,891e80c9e4bffff
751,891e80552a3ffff
752,891e8056b73ffff
753,891e8056ab3ffff
